Time (s),PT3w (ohms-Hex),PT3s (ohms-Hex)
9548,8315,8288
9553,8314,8289
9558,8315,8287
9563,8316,8287
9568,8315,8287
9574,8315,8287
9579,8315,8287
9584,8315,8288
9589,8315,8288
9594,8315,8287
9599,8315,8288
9604,8315,8288
9609,8315,8287
9614,8314,8286
9619,8316,8288
9624,8316,8288
9629,8315,8287
9634,8315,8288
9639,8315,8288
9644,8315,8287
9649,8315,8288
9655,8315,8287
9660,8314,8287
9665,8315,8288
9670,8315,8289
9675,8315,8288
9680,8316,8288
9685,8314,8286
9690,8315,8287
9695,8315,8288
9700,8316,8288
9705,8314,8287
9710,8315,8288
9715,8315,8287
9720,8314,8287
9725,8315,8287
9730,8315,8288
9735,8315,8287
9740,8313,8287
9746,8315,8287
9751,8316,8287
9756,8314,8288
9761,8315,8288
9766,8315,8287
9771,8315,8288
9776,8315,8287
9781,8316,8288
9786,8315,8288
9791,8315,8288
9796,8315,8288
9801,8314,8288
9806,8314,8289
9811,8315,8287
9816,8315,8288
9821,8314,8288
9826,8315,8288
9831,8315,8288
9837,8315,8288
9842,8315,8288
9847,8314,8287
9852,8315,8288
9857,8315,8286
9862,8314,8289
9867,8314,8287
9872,8315,8287
9877,8315,8288
9882,8314,8287
9887,8315,8287
9892,8315,8287
9897,8314,8287
9902,8314,8286
9907,8314,8288
9912,8315,8288
9917,8315,8288
9922,8315,8288
9928,8314,8287
9933,8315,8287
9938,8315,8287
9943,8315,8288
9948,8315,8288
9953,8315,8288
9958,8315,8287
9963,8315,8287
9968,8315,8287
9973,8314,8289
9978,8315,8287
9983,8315,8288
9988,8314,8287
9993,8314,8289
9998,8314,8287
10003,8315,8288
10008,8315,8288
10013,8314,8288
10019,8315,8288
10024,8315,8287
10029,8315,8287
10034,8315,8288
10039,8315,8287
10044,8314,8287
10049,8315,8287
10054,8315,8288
10059,8315,8287
10064,8315,8288
10069,8315,8288
10074,8315,8287
10079,8314,8288
10084,8315,8288
10089,8314,8288
10094,8315,8288
10099,8314,8286
10105,8315,8287
10110,8314,8288
10115,8314,8288
10120,8315,8288
10125,8315,8287
10130,8315,8288
10135,8315,8288
10140,8314,8288
10145,8315,8289
10150,8314,8287
10155,8315,8288
10160,8314,8287
10165,8315,8287
10170,8315,8288
10175,8315,8288
10180,8315,8287
10185,8315,8288
10190,8315,8287
10196,8315,8288
10201,8314,8289
10206,8315,8289
10211,8314,8289
10216,8315,8288
10221,8315,8288
10226,8315,8289
10231,8315,8289
10236,8314,8288
10241,8314,8288
10246,8314,8288
10251,8316,8288
10256,8315,8288
10261,8315,8289
10266,8315,8287
10271,8315,8287
10276,8315,8288
10281,8315,8288
10287,8316,8289
10292,8314,8288
10297,8314,8288
10302,8314,8288
10307,8314,8288
10312,8315,8287
10317,8315,8288
10322,8315,8288
10327,8314,8287
10332,8315,8288
10337,8315,8288
10342,8314,8288
10347,8314,8289
10352,8314,8289
10357,8315,8287
10362,8316,8288
10367,8315,8288
10372,8314,8288
10378,8315,8288
10383,8315,8289
10388,8316,8287
10393,8315,8287
10398,8315,8288
10403,8315,8287
10408,8314,8288
10413,8315,8289
10418,8314,8288
10423,8315,8289
10428,8315,8288
10433,8315,8287
10438,8315,8288
10443,8316,8287
10448,8315,8288
10453,8315,8288
10458,8315,8288
10463,8315,8288
10469,8315,8289
10474,8315,8288
10479,8314,8288
10484,8314,8288
10489,8315,8289
10494,8315,8287
10499,8315,8288
10504,8315,8288
10509,8315,8286
10514,8316,8289
10519,8315,8288
10524,8315,8289
10529,8314,8288
10534,8315,8288
10539,8315,8288
10544,8314,8288
10549,8315,8288
10554,8315,8288
10560,8314,8288
10565,8314,8288
10570,8315,8289
10575,8315,8288
10580,8315,8288
10585,8315,8288
10590,8315,8288
10595,8314,8288
10600,8315,8287
10605,8314,8288
10610,8315,8288
10615,8315,8287
10620,8315,8288
10625,8315,8289
10630,8315,8289
10635,8315,8289
10640,8315,8288
10645,8315,8287
10651,8314,8289
10656,8314,8288
10661,8315,8288
10666,8315,8288
10671,8316,8288
10676,8314,8288
10681,8315,8288
10686,8315,8288
10691,8315,8289
10696,8315,8287
10701,8315,8288
10706,8315,8288
10711,8314,8288
10716,8315,8288
10721,8314,8288
10726,8315,8287
10731,8314,8288
10736,8315,8288
10742,8315,8288
10747,8315,8288
10752,8315,8289
10757,8314,8289
10762,8315,8288
10767,8315,8287
10772,8315,8288
10777,8315,8288
10782,8314,8289
10787,8315,8288
10792,8315,8288
10797,8314,8288
10802,8314,8288
10807,8314,8288
10812,8315,8289
10817,8314,8288
10822,8316,8288
10828,8316,8288
10833,8314,8289
10838,8314,8288
10843,8315,8287
10848,8315,8288
10853,8315,8289
10858,8314,8289
10863,8315,8288
10868,8315,8289
10873,8315,8287
10878,8315,8288
10883,8315,8288
10888,8315,8289
10893,8314,8287
10898,8315,8288
10903,8315,8288
10908,8314,8289
10913,8314,8289
10919,8314,8288
10924,8315,8289
