Time (s),PT2w_cal (deg.C),PT2s_cal (deg.C)
2473,22.803,22.193
2478,22.803,22.159
2483,22.769,22.193
2488,22.769,22.193
2493,22.769,22.193
2498,22.769,22.159
2503,22.803,22.193
2508,22.769,22.227
2513,22.803,22.193
2518,22.803,22.193
2523,22.769,22.227
2528,22.769,22.193
2533,22.803,22.193
2538,22.803,22.227
2543,22.769,22.227
2549,22.769,22.227
2554,22.769,22.193
2559,22.769,22.193
2564,22.769,22.193
2569,22.769,22.26
2574,22.769,22.26
2579,22.769,22.227
2584,22.769,22.193
2589,22.769,22.227
2594,22.736,22.227
2599,22.769,22.227
2604,22.769,22.26
2609,22.736,22.227
2614,22.769,22.227
2619,22.736,22.227
2624,22.736,22.227
2629,22.736,22.26
2634,22.769,22.227
2640,22.769,22.227
2645,22.736,22.193
2650,22.803,22.227
2655,22.736,22.26
2660,22.769,22.227
2665,22.769,22.227
2670,22.702,22.227
2675,22.736,22.26
2680,22.769,22.26
2685,22.736,22.227
2690,22.769,22.26
2695,22.736,22.26
2700,22.769,22.26
2705,22.736,22.26
2710,22.769,22.26
2715,22.736,22.227
2720,22.702,22.227
2726,22.702,22.26
2731,22.702,22.227
2736,22.736,22.26
2741,22.736,22.26
2746,22.769,22.227
2751,22.736,22.227
2756,22.736,22.227
2761,22.736,22.26
2766,22.736,22.26
2771,22.769,22.26
2776,22.736,22.26
2781,22.736,22.26
2786,22.769,22.294
2791,22.702,22.26
2796,22.736,22.294
2801,22.736,22.26
2806,22.702,22.227
2811,22.736,22.26
2817,22.736,22.26
2822,22.769,22.294
2827,22.702,22.294
2832,22.702,22.294
2837,22.736,22.26
2842,22.736,22.26
2847,22.702,22.26
2852,22.736,22.227
2857,22.668,22.294
2862,22.736,22.26
2867,22.736,22.294
2872,22.736,22.294
2877,22.702,22.294
2882,22.702,22.26
2887,22.736,22.294
2892,22.736,22.26
2897,22.702,22.294
2903,22.736,22.294
2908,22.702,22.294
2913,22.702,22.26
2918,22.702,22.294
2923,22.702,22.294
2928,22.702,22.294
2933,22.736,22.294
2938,22.702,22.26
2943,22.702,22.294
2948,22.736,22.294
2953,22.702,22.294
2958,22.702,22.328
2963,22.702,22.294
2968,22.702,22.294
2973,22.736,22.294
2978,22.702,22.328
2983,22.702,22.294
2988,22.668,22.26
2994,22.702,22.26
2999,22.702,22.294
3004,22.702,22.294
3009,22.702,22.294
3014,22.702,22.294
3019,22.702,22.294
3024,22.668,22.328
3029,22.668,22.328
3034,22.702,22.294
3039,22.702,22.26
3044,22.702,22.328
3049,22.702,22.328
3054,22.702,22.328
3059,22.668,22.328
3064,22.668,22.328
3069,22.668,22.328
3074,22.668,22.294
3080,22.668,22.328
3085,22.668,22.328
3090,22.668,22.328
3095,22.668,22.328
3100,22.668,22.328
3105,22.702,22.294
3110,22.668,22.294
3115,22.668,22.328
3120,22.702,22.328
3125,22.702,22.328
3130,22.702,22.328
3135,22.668,22.328
3140,22.668,22.328
3145,22.702,22.294
3150,22.668,22.328
3155,22.702,22.328
3160,22.702,22.328
3165,22.668,22.328
3171,22.668,22.294
3176,22.702,22.294
3181,22.702,22.361
3186,22.668,22.294
3191,22.668,22.328
3196,22.668,22.328
3201,22.736,22.328
3206,22.702,22.328
3211,22.668,22.361
3216,22.702,22.328
3221,22.668,22.328
3226,22.702,22.328
3231,22.634,22.294
3236,22.668,22.361
3241,22.668,22.328
3246,22.668,22.328
3251,22.668,22.328
3257,22.668,22.328
3262,22.668,22.328
3267,22.668,22.328
3272,22.668,22.328
3277,22.702,22.361
3282,22.702,22.328
3287,22.634,22.328
3292,22.668,22.328
3297,22.668,22.361
3302,22.668,22.328
3307,22.668,22.361
3312,22.668,22.328
3317,22.634,22.395
3322,22.668,22.328
3327,22.668,22.328
3332,22.668,22.361
3337,22.634,22.361
3342,22.668,22.361
3348,22.668,22.395
3353,22.634,22.328
3358,22.634,22.328
3363,22.668,22.328
3368,22.668,22.395
3373,22.668,22.361
3378,22.634,22.361
3383,22.668,22.361
3388,22.634,22.361
3393,22.702,22.361
3398,22.668,22.328
3403,22.668,22.361
3408,22.634,22.395
3413,22.634,22.361
3418,22.668,22.328
3423,22.668,22.361
3428,22.668,22.395
3434,22.634,22.328
3439,22.634,22.361
3444,22.668,22.361
3449,22.668,22.361
3454,22.668,22.361
3459,22.668,22.361
3464,22.634,22.361
3469,22.634,22.395
3474,22.668,22.395
3479,22.634,22.361
3484,22.668,22.361
3489,22.634,22.361
3494,22.668,22.395
3499,22.634,22.361
