Time (s),PT1w (ohms-Hex),PT1s (ohms-Hex)
2511,8361,8346
2516,8361,8346
2522,8361,8346
2527,8362,8346
2532,8361,8346
2537,8361,8346
2542,8361,8346
2547,8362,8347
2552,8361,8347
2557,8362,8347
2562,8362,8347
2567,8362,8347
2572,8362,8347
2577,8362,8347
2582,8362,8347
2587,8363,8347
2592,8362,8347
2597,8362,8348
2602,8363,8348
2607,8362,8348
2612,8363,8347
2618,8363,8348
2623,8363,8348
2628,8363,8348
2633,8363,8349
2638,8362,8349
2643,8363,8349
2648,8363,8349
2653,8362,8349
2658,8364,8349
2663,8363,8349
2668,8363,8349
2673,8364,8349
2678,8364,8350
2683,8364,8349
2688,8363,8350
2693,8363,8351
2698,8364,8350
2703,8363,8349
2708,8364,8350
2713,8364,8351
2719,8364,8351
2724,8364,8351
2729,8364,8350
2734,8364,8351
2739,8364,8350
2744,8364,8351
2749,8365,8352
2754,8365,8351
2759,8364,8351
2764,8364,8352
2769,8365,8352
2774,8364,8352
2779,8364,8352
2784,8364,8352
2789,8365,8352
2794,8365,8352
2799,8365,8352
2804,8366,8352
2809,8365,8353
2815,8365,8353
2820,8365,8352
2825,8366,8353
2830,8366,8353
2835,8367,8352
2840,8366,8353
2845,8365,8354
2850,8366,8353
2855,8366,8353
2860,8366,8353
2865,8366,8353
2870,8366,8354
2875,8365,8353
2880,8365,8354
2885,8366,8354
2890,8367,8354
2895,8365,8355
2900,8367,8354
2906,8366,8354
2911,8366,8354
2916,8366,8354
2921,8367,8354
2926,8367,8355
2931,8367,8355
2936,8366,8356
2941,8367,8355
2946,8366,8355
2951,8367,8355
2956,8367,8355
2961,8367,8356
2966,8367,8356
2971,8368,8356
2976,8367,8355
2981,8368,8356
2986,8368,8356
2991,8367,8356
2996,8367,8356
3002,8368,8356
3007,8368,8357
3012,8368,8356
3017,8368,8356
3022,8369,8357
3027,8368,8357
3032,8369,8357
3037,8368,8356
3042,8368,8357
3047,8368,8357
3052,8368,8357
3057,8369,8358
3062,8369,8357
3067,8369,8358
3072,8369,8358
3077,8369,8358
3082,8369,8358
3087,8369,8359
3092,8369,8357
3098,8369,8358
3103,8369,8358
3108,8369,8359
3113,8369,8358
3118,8369,8358
3123,8369,8359
3128,8370,8358
3133,8369,8358
3138,8369,8358
3143,8370,8359
3148,8370,8359
3153,8369,8359
3158,8370,8358
3163,8369,8359
3168,8369,8360
3173,8370,8359
3178,8371,8360
3183,8370,8360
3188,8370,8360
3194,8371,8360
3199,8371,8359
3204,8370,8360
3209,8370,8359
3214,8370,8360
3219,8370,8360
3224,8371,8361
3229,8370,8360
3234,8370,8360
3239,8371,8361
3244,8370,8361
3249,8371,8361
3254,8371,8361
3259,8371,8360
3264,8371,8361
3269,8370,8361
3274,8371,8361
3279,8371,8362
3284,8372,8362
3290,8371,8362
3295,8371,8361
3300,8371,8361
3305,8372,8362
3310,8372,8362
3315,8371,8362
3320,8371,8362
3325,8372,8362
