Time (s),PT4w_cal (deg.C),PT4s_cal (deg.C)
3054,24.829,22.387
3059,24.863,22.387
3064,24.863,22.387
3069,24.863,22.387
3074,24.863,22.387
3079,24.896,22.353
3084,24.863,22.42
3089,24.863,22.387
3094,24.863,22.353
3099,24.896,22.387
3104,24.896,22.353
3109,24.896,22.387
3114,24.896,22.387
3119,24.863,22.387
3124,24.863,22.42
3129,24.863,22.42
3134,24.896,22.387
3140,24.896,22.387
3145,24.863,22.42
3150,24.896,22.42
3155,24.896,22.42
3160,24.896,22.387
3165,24.896,22.454
3170,24.896,22.42
3175,24.863,22.42
3180,24.863,22.387
3185,24.896,22.42
3190,24.863,22.42
3195,24.896,22.42
3200,24.896,22.42
3205,24.863,22.353
3210,24.896,22.454
3215,24.863,22.42
3220,24.896,22.42
3225,24.896,22.387
3231,24.896,22.42
3236,24.863,22.42
3241,24.863,22.42
3246,24.896,22.42
3251,24.896,22.42
3256,24.896,22.454
3261,24.896,22.454
3266,24.896,22.454
3271,24.896,22.42
3276,24.896,22.42
3281,24.93,22.42
3286,24.93,22.488
3291,24.896,22.454
3296,24.93,22.42
3301,24.93,22.42
3306,24.896,22.42
3311,24.896,22.42
3316,24.93,22.454
3322,24.896,22.42
3327,24.93,22.454
3332,24.93,22.42
3337,24.93,22.488
3342,24.93,22.42
3347,24.93,22.454
3352,24.93,22.454
3357,24.896,22.454
3362,24.93,22.454
3367,24.896,22.488
3372,24.964,22.454
3377,24.93,22.488
3382,24.93,22.522
3387,24.93,22.488
3392,24.93,22.488
3397,24.964,22.454
3402,24.896,22.454
3407,24.93,22.454
3413,24.93,22.488
3418,24.93,22.488
3423,24.964,22.454
3428,24.93,22.522
3433,24.964,22.488
3438,24.93,22.488
3443,24.964,22.488
3448,24.93,22.454
3453,24.964,22.488
3458,24.93,22.454
3463,24.93,22.488
3468,24.93,22.454
3473,24.93,22.488
3478,24.964,22.488
3483,24.964,22.522
3488,24.93,22.488
3493,24.964,22.454
3498,24.964,22.454
3504,24.964,22.488
3509,24.964,22.488
3514,24.964,22.488
3519,24.964,22.488
3524,24.964,22.522
3529,24.964,22.488
3534,24.964,22.522
3539,24.964,22.522
3544,24.93,22.522
3549,24.964,22.522
3554,24.964,22.522
3559,24.964,22.454
3564,24.964,22.522
3569,24.964,22.522
3574,24.964,22.522
3579,24.93,22.522
3584,24.964,22.522
3590,24.964,22.488
3595,24.93,22.488
3600,24.93,22.589
3605,24.998,22.522
3610,24.964,22.488
3615,24.964,22.522
3620,24.964,22.556
3625,24.964,22.522
3630,24.964,22.556
3635,24.93,22.556
3640,24.964,22.556
3645,24.964,22.556
3650,24.964,22.556
3655,24.998,22.522
3660,24.964,22.522
3665,24.998,22.522
3670,24.964,22.522
3676,24.964,22.556
3681,24.964,22.522
3686,24.964,22.556
3691,24.998,22.556
3696,24.998,22.589
3701,24.964,22.556
3706,25.032,22.522
3711,24.998,22.556
3716,24.964,22.589
3721,24.964,22.522
3726,24.964,22.589
3731,24.964,22.556
3736,24.93,22.556
3741,24.964,22.556
3746,24.964,22.589
3751,24.998,22.556
3756,24.998,22.589
3761,24.998,22.589
3767,24.964,22.556
3772,24.964,22.589
3777,24.964,22.589
3782,24.998,22.589
3787,24.998,22.589
3792,24.964,22.589
3797,24.998,22.589
3802,24.998,22.589
3807,24.998,22.589
3812,24.998,22.589
3817,24.998,22.522
3822,24.964,22.589
3827,24.998,22.589
3832,24.998,22.556
3837,24.998,22.589
3842,24.998,22.589
3847,24.964,22.589
3852,24.964,22.623
3858,25.032,22.589
3863,25.032,22.589
3868,24.998,22.623
3873,25.032,22.556
3878,24.998,22.623
3883,24.998,22.589
3888,25.032,22.589
3893,24.964,22.589
3898,25.032,22.623
3903,24.998,22.589
3908,24.964,22.589
3913,24.998,22.589
3918,24.998,22.589
3923,24.964,22.623
3928,24.998,22.691
3933,25.032,22.623
3938,24.998,22.623
3943,25.032,22.589
3949,25.032,22.657
3954,24.998,22.623
3959,25.032,22.657
3964,24.998,22.623
3969,24.998,22.657
3974,25.032,22.657
3979,24.998,22.623
3984,25.032,22.657
3989,24.964,22.623
3994,24.964,22.657
3999,24.998,22.691
4004,25.032,22.623
4009,24.998,22.589
4014,25.032,22.623
4019,25.032,22.589
4024,25.032,22.589
4029,25.032,22.657
4034,25.032,22.657
4040,24.998,22.623
4045,24.998,22.623
4050,25.032,22.623
4055,24.998,22.623
4060,25.032,22.623
4065,24.998,22.691
4070,25.032,22.589
4075,24.998,22.657
4080,24.998,22.691
4085,25.032,22.657
4090,25.032,22.623
4095,24.998,22.691
4100,25.032,22.657
4105,25.032,22.657
4110,25.032,22.691
4115,25.032,22.623
4120,25.032,22.691
4126,24.998,22.691
4131,25.032,22.691
4136,25.032,22.691
4141,25.032,22.691
4146,25.032,22.657
4151,25.065,22.691
4156,24.998,22.657
4161,25.032,22.691
4166,25.032,22.725
4171,25.032,22.657
4176,25.032,22.725
4181,25.032,22.725
4186,25.032,22.691
4191,25.032,22.725
4196,25.065,22.657
4201,25.032,22.725
4206,25.065,22.691
4211,25.032,22.725
4217,25.032,22.691
4222,25.032,22.691
4227,25.032,22.657
4232,25.032,22.657
4237,25.032,22.691
4242,25.032,22.725
4247,25.032,22.691
4252,25.065,22.691
4257,25.032,22.657
4262,25.065,22.758
4267,25.032,22.725
4272,25.032,22.691
4277,25.032,22.725
4282,25.099,22.758
4287,24.998,22.725
4292,25.032,22.657
4297,25.032,22.691
4302,25.032,22.792
4308,25.099,22.725
4313,25.065,22.792
4318,25.032,22.691
4323,25.032,22.691
4328,25.099,22.725
4333,25.032,22.725
4338,25.032,22.792
4343,25.032,22.725
4348,25.032,22.725
